sq_param,DEAD_MEAN,DEAD_STD,EQ_MIN,MSQE,STD
4,10.41,1.2956414892580694,19.556333181342843,26.30636901048455,3.9204489596045864
7,7.4,1.5699192541804385,15.274328578187744,19.79775389634763,2.7194042583208327
10,6.61,1.3625214297267572,13.859592817324975,18.587624464586135,2.110370280320962
13,8.86,1.385494842861553,17.465383511895986,22.670666197478596,2.960264892118545
16,10.75,1.4025589888385148,18.236914048009364,27.547758888793396,4.540433532776974
19,12.76,1.2070499977091658,23.79318484344015,35.39007376202069,6.221377475987867
22,13.45,1.3660752600649848,24.01431689851973,39.43938308403508,9.04190867285422
4,0.0,0.0,27.723879258668273,28.875199660447464,0.7048231558991878
7,0.09,0.28762349126466136,27.985503679333636,29.357102717464173,0.7988003854292665
10,3.05,1.395338559980945,28.56155544384034,32.20036525524786,1.7604179718804385
13,7.44,1.6776607090068762,33.070889454084416,37.939345024069176,2.657684919701007
16,10.42,1.5838834769915584,34.33530147791565,43.55963406638904,3.7078455147314062
19,12.43,1.5192701597088711,39.1037784558463,49.167743341784345,5.09569268416423
22,13.55,1.3734495390671022,41.972618133472494,53.36202226805053,6.1006358971346355
4,0.0,0.0,28.819741834036215,30.094296480868074,0.7135952443536038
7,0.02,0.14070529413628968,29.169075010874344,30.53281715248389,0.7792420102241939
10,5.38,1.5685031145018553,31.363784565561122,36.086754535028135,2.3413662843945064
13,9.38,1.3240586516961073,36.06894887884111,43.02453348568279,2.914719495055142
16,11.89,1.4134634016764596,39.22687762048977,49.89002832002386,4.5261034463323
19,13.04,1.3327271349235807,44.64853449096669,54.227700734348474,6.381074754109469
22,14.35,1.250252499750076,46.11839804181925,60.001524601772225,6.941918376132258
4,6.88,1.451436070471816,37.271948582052545,44.184016398427495,3.8820850397288442
7,5.89,1.58206488265472,34.99621194748621,42.11442970819768,4.195327628272742
10,6.16,1.5090300584056362,34.23666950765207,42.724317109647444,6.695115495033447
13,8.27,1.4964942196664008,36.93990246321569,47.463048513827005,6.492339940799927
16,11.11,1.6569108410996456,41.73674789392801,59.09471625751482,10.793816552472087
19,12.6,1.556997888323046,46.038430640306515,68.853667696162,13.601284428755752
22,13.77,1.3915691310404406,51.17944630053504,77.50174959568275,14.898232683562808
