LR,DEAD_MEAN,DEAD_STD,EQ_MIN,MSQE,STD
0.001,17.4,6.75995337979,1.3710307771743189,2.41558786498,0.373010669653
0.0453333333333,14.6,8.92392086677,1.2667550064443667,2.31756725305,0.421677749493
0.0896666666667,17.2,6.9747017604,1.4878399613992375,2.34846049258,0.405578212343
0.134,15.8,8.18720361481,1.4140270084312963,2.26084339059,0.332439093317
0.178333333333,16.0,8.04030252207,1.1297386131792384,2.30536363197,0.356159885456
0.222666666667,16.8,7.36905898355,1.4301704574824912,2.32286064748,0.394699377621
0.267,16.6,7.55050336137,1.3065343285136337,2.31771814056,0.429829433858
0.311333333333,16.6,7.55050336137,1.4811418238897232,2.35560495421,0.374499055669
0.355666666667,16.2,7.88554488807,1.3490010578936675,2.31618838598,0.389423650801
0.4,13.4,9.45163125251,1.3428338902649615,2.24598507188,0.417686531081
